Name                                                                                                                                                                              Stmts   Miss  Cover
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0014_auto_20170705_1736.py                                                                                              26     17    35%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0015_auto_20170706_2041.py                                                                                               9      1    89%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0016_auto_20180925_1735.py                                                                                               4      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0017_auto_20190128_1820.py                                                                                               5      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0018_auto_20191025_0831.py                                                                                               4      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0019_auto_20210514_2032.py                                                                                              17     10    41%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0020_auto_20210514_2210.py                                                                                               4      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0021_auto_20210520_2137.py                                                                                               5      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\0022_defaultchannel_alter_channeldb_id_alter_msg_id_and_more.py                                                          4      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\migrations\__init__.py                                                                                                              0      0   100%
C:\Users\danie\source\repos\evennia\evennia\comms\models.py                                                                                                                         256     95    63%
C:\Users\danie\source\repos\evennia\evennia\comms\tests.py                                                                                                                           55      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\__init__.py                                                                                                                       1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\__init__.py                                                                                                          0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\awsstorage\__init__.py                                                                                               0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\awsstorage\tests.py                                                                                                315    251    20%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\building_menu\__init__.py                                                                                            2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\building_menu\building_menu.py                                                                                     401     96    76%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\building_menu\tests.py                                                                                             109      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\color_markups\__init__.py                                                                                            1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\color_markups\color_markups.py                                                                                      43      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\color_markups\tests.py                                                                                              50      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\components\__init__.py                                                                                              10      2    80%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\components\component.py                                                                                             55     11    80%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\components\dbfield.py                                                                                               41      7    83%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\components\holder.py                                                                                               134      9    93%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\components\signals.py                                                                                               87     12    86%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\components\tests.py                                                                                                290      7    98%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\custom_gametime\__init__.py                                                                                          7      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\custom_gametime\custom_gametime.py                                                                                  90     10    89%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\custom_gametime\tests.py                                                                                            29      1    97%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\email_login\__init__.py                                                                                              2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\email_login\connection_screens.py                                                                                    4      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\email_login\email_login.py                                                                                         124     34    73%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\email_login\tests.py                                                                                                13      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\godotwebsocket\__init__.py                                                                                           2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\godotwebsocket\test_text2bbcode.py                                                                                  32      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\godotwebsocket\text2bbcode.py                                                                                      198     12    94%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\godotwebsocket\webclient.py                                                                                         38     26    32%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\__init__.py                                                                                            1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\callbackhandler.py                                                                                    66     52    21%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\commands.py                                                                                          329    294    11%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\eventfuncs.py                                                                                         17     12    29%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\scripts.py                                                                                           290    258    11%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\tests.py                                                                                             276    240    13%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\typeclasses.py                                                                                       181    152    16%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\ingame_python\utils.py                                                                                             114     92    19%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\menu_login\__init__.py                                                                                               2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\menu_login\connection_screens.py                                                                                     4      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\menu_login\menu_login.py                                                                                            94     55    41%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\menu_login\tests.py                                                                                                  5      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\mux_comms_cmds\__init__.py                                                                                           1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\mux_comms_cmds\mux_comms_cmds.py                                                                                   264    114    57%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\mux_comms_cmds\tests.py                                                                                             21      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\unixcommand\__init__.py                                                                                              1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\unixcommand\tests.py                                                                                                29      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\base_systems\unixcommand\unixcommand.py                                                                                          55     10    82%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\__init__.py                                                                                                          0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\__init__.py                                                                                              8      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\commands.py                                                                                            339    106    69%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\menu.py                                                                                                129     80    38%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\objects.py                                                                                             447    203    55%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\room.py                                                                                                 95     30    68%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\scripts.py                                                                                              13      8    38%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\state.py                                                                                               112     46    59%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\states\state_001_start.py                                                                               54     10    81%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\tests.py                                                                                               217      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\full_systems\evscaperoom\utils.py                                                                                                61     20    67%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\__init__.py                                                                                                          0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\barter\__init__.py                                                                                                   1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\barter\barter.py                                                                                                   343     56    84%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\barter\tests.py                                                                                                     75      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\clothing\__init__.py                                                                                                 3      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\clothing\clothing.py                                                                                               257     99    61%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\clothing\tests.py                                                                                                   64      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\cooldowns\__init__.py                                                                                                1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\cooldowns\cooldowns.py                                                                                              45      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\cooldowns\tests.py                                                                                                 124      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\crafting\__init__.py                                                                                                 4      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\crafting\crafting.py                                                                                               260     24    91%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\crafting\example_recipes.py                                                                                        136     44    68%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\crafting\tests.py                                                                                                  357      1    99%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\gendersub\__init__.py                                                                                                2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\gendersub\gendersub.py                                                                                              40      6    85%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\gendersub\tests.py                                                                                                  17      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\mail\__init__.py                                                                                                     2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\mail\mail.py                                                                                                       159     38    76%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\mail\tests.py                                                                                                       17      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\multidescer\__init__.py                                                                                              1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\multidescer\multidescer.py                                                                                         128     46    64%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\multidescer\tests.py                                                                                                13      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\puzzles\__init__.py                                                                                                  2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\puzzles\puzzles.py                                                                                                 412     16    96%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\puzzles\tests.py                                                                                                   483      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\__init__.py                                                                                               5      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\tb_basic.py                                                                                             265     82    69%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\tb_equip.py                                                                                             227     75    67%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\tb_items.py                                                                                             308    128    58%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\tb_magic.py                                                                                             302    203    33%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\tb_range.py                                                                                             348    178    49%
C:\Users\danie\source\repos\evennia\evennia\contrib\game_systems\turnbattle\tests.py                                                                                                423      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\__init__.py                                                                                                                  0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\extended_room\__init__.py                                                                                                    6      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\extended_room\extended_room.py                                                                                             217     72    67%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\extended_room\tests.py                                                                                                      57      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\ingame_map_display\__init__.py                                                                                               1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\ingame_map_display\ingame_map_display.py                                                                                   114     22    81%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\ingame_map_display\tests.py                                                                                                 19      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\mapbuilder\__init__.py                                                                                                       1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\mapbuilder\mapbuilder.py                                                                                                    81     22    73%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\mapbuilder\tests.py                                                                                                         56     28    50%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\simpledoor\__init__.py                                                                                                       2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\simpledoor\simpledoor.py                                                                                                    61     14    77%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\simpledoor\tests.py                                                                                                          9      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\slow_exit\__init__.py                                                                                                        4      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\slow_exit\slow_exit.py                                                                                                      44     11    75%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\slow_exit\tests.py                                                                                                          15      2    87%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\wilderness\__init__.py                                                                                                       7      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\wilderness\tests.py                                                                                                         91      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\wilderness\wilderness.py                                                                                                   196     56    71%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\xyzgrid\__init__.py                                                                                                          2      1    50%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\xyzgrid\example.py                                                                                                          26     25     4%
C:\Users\danie\source\repos\evennia\evennia\contrib\grid\xyzgrid\xymap_legend.py                                                                                                    398    394     1%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\__init__.py                                                                                                                   0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\buffs\__init__.py                                                                                                             0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\buffs\buff.py                                                                                                               518    161    69%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\buffs\samplebuffs.py                                                                                                         87     23    74%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\buffs\tests.py                                                                                                              275      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\character_creator\__init__.py                                                                                                 0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\character_creator\character_creator.py                                                                                       85     20    76%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\character_creator\example_menu.py                                                                                           133    103    23%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\character_creator\tests.py                                                                                                   25      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\dice\__init__.py                                                                                                              4      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\dice\dice.py                                                                                                                103     28    73%
